date,Balloons,Streamers,Party hats,Birthday banners,Confetti,Table covers_x,Party favors,Cake toppers_x,Candles,Paper plates,Napkins,Party bags,Plastic cups,Invitations,Gift bags,Party poppers,Pi\'f1atas,Thank you cards,Party signs,Centerpieces,Disposable utensils,Straws,Cupcake toppers,Party games,Photo booth props,Balloon weights,Place cards,Hanging decorations,Themed plates,Party kits,Ribbons,Wrapping paper,Banners,Sparklers,Party blowers,Foil balloons,Party trays,LED lights,Birthday sashes,Cocktail napkins,Gift wrap,Honeycomb decorations,Plastic tablecloths,Cake candles,Party crowns,Noise makers,Custom balloons,Birthday invites,Favor boxes,Table runners,Ribbon bows,Decorative napkins,Confetti poppers,Mini sparklers,Balloon bouquets,Birthday decor,Number balloons,Printed tablecloths,Happy birthday signs,Birthday candles,Table decorations,Themed napkins,Hanging lanterns,Costume accessories,Candy bags,Wall decorations,Birthday signs,Inflatable numbers,Party balloons,Latex balloons,Printed plates,Cake toppers_y,Pinwheels,Cake servers,Cocktail glasses,Candy bar bags,Fun cups,Cocktail umbrellas,LED candles,Shaped balloons,Streamer kits,Birthday numbers,Table covers_y,Party bowls,Birthday wands,Glitter confetti,Printed cups,Striped straws,Paper bunting,Gift tags,Party glasses,Themed games,Balloon stands,Fun napkins,Balloon strings,Paper fans,Mini party lights,Birthday tiaras
2019-12-29,1.9333333333333333,0.3411764705882353,0.12,0.17363478260869564,0.8877551020408163,0.13,0.46,0.18,13.12253296380281,0.19,0.5952380952380952,0.11,0.24,2.7666666666666666,0.23711340206185566,0.08,0.0,0.35,0.04,0.76,0.0,0.8854166666666666,0.12,1.0793650793650793,0.5648842105263158,0.12264827586206896,0.14,0.03,0.1248,0.22947096774193546,0.38,0.7083333333333334,0.6666666666666666,0.34177215189873417,0.0,0.35775999999999997,0.1,6.2727272727272725,0.0,0.48879999999999996,0.23255813953488372,0.0,0.336,0.44159999999999994,0.11609302325581394,0.389376,0.1482,0.72,0.5057684210526315,0.13,0.03,0.0,0.5616,0.0,0.09879999999999999,0.06,0.07,0.0,0.01,0.08,0.19,0.0,0.156,0.02,0.14,0.08,0.13,0.0,0.22,0.48256,0.0,0.18,0.26,0.0,0.04,0.0,0.1690838709677419,0.0,0.07,0.12034285714285714,0.0,0.03,0.13,0.27162352941176465,0.0,0.17734736842105261,0.0676,0.0,0.0,0.06,0.09,0.05,0.0,0.0,0.0,0.17279999999999998,0.0,0.077376
2020-01-05,2.066666666666667,0.3176470588235294,0.07,0.2116173913043478,0.6122448979591837,0.13,0.53,0.23,11.810279667422527,0.22,0.5595238095238095,0.14,0.22,3.3333333333333335,0.24742268041237114,0.02,0.0,0.34,0.04,0.94,0.0,0.8333333333333334,0.16,0.7619047619047619,0.6108631578947368,0.09897931034482758,0.13,0.02,0.13272380952380952,0.21739354838709676,0.54,0.4166666666666667,0.7333333333333333,0.10126582278481013,0.0,0.32448,0.07,4.636363636363637,0.0,0.416,0.16279069767441862,0.08985599999999999,0.37439999999999996,0.4992,0.0,0.16972800000000002,0.2301,0.9216,0.4992,0.14,0.03,0.0,0.312,0.0,0.1352,0.08,0.06,0.0,0.01,0.09,0.2,0.08871325301204819,0.25739999999999996,0.02,0.29,0.07,0.16,0.0,0.22,0.5657599999999999,0.0,0.23,0.15,0.0,0.03,0.0,0.1368774193548387,0.0,0.06,0.11142857142857143,0.0,0.03,0.13,0.13581176470588233,0.0,0.13136842105263158,0.1196,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.2112,0.0,0.0
2020-01-12,2.066666666666667,0.3058823529411765,0.06,0.2821565217391304,0.6224489795918368,0.14,0.53,0.26,11.810279667422527,0.2,0.5952380952380952,0.14,0.24,3.2,0.2268041237113402,0.01,0.0,0.32,0.04,0.9,0.0,0.90625,0.16,0.7777777777777778,0.5386105263157894,0.08391724137931034,0.13,0.03,0.09706666666666666,0.21739354838709676,0.48,0.3333333333333333,0.7333333333333333,0.08860759493670886,0.0,0.37439999999999996,0.07,4.363636363636363,0.0,0.45759999999999995,0.13953488372093023,0.0,0.30720000000000003,0.6432,0.1131906976744186,0.094848,0.2535,0.816,0.6568421052631579,0.14,0.03,0.0,0.1716,0.0,0.1768,0.07,0.06,0.0,0.01,0.09,0.2,0.0,0.2496,0.02,0.18,0.07,0.16,0.0,0.24,0.69888,0.0,0.26,0.15,0.0,0.03,0.0,0.22141935483870967,0.0,0.05,0.1248,0.0,0.03,0.14,0.2092235294117647,0.0,0.15545263157894737,0.10919999999999999,0.0,0.0,0.04,0.04,0.05,0.0,0.0,0.0,0.15839999999999999,0.0,0.0
2020-01-19,2.2,0.3176470588235294,0.07,0.27673043478260867,0.6428571428571429,0.13,0.5,0.22,10.498026371042247,0.25,0.5952380952380952,0.14,0.24,2.8333333333333335,0.23711340206185566,0.02,0.0,0.31,0.05,0.82,0.0,1.0,0.15,0.7619047619047619,0.6305684210526316,0.1248,0.13,0.03,0.11093333333333333,0.23349677419354836,0.44,0.3333333333333333,0.7333333333333333,0.08860759493670886,0.0,0.36607999999999996,0.08,4.090909090909091,0.0,0.40559999999999996,0.11627906976744186,0.0,0.3312,0.624,0.06385116279069768,0.129792,0.20279999999999998,0.7104,0.5648842105263158,0.12,0.03,0.08688607594936709,0.1482,0.0,0.1456,0.07,0.07,0.0,0.01,0.11,0.21,0.0,0.23399999999999999,0.02,0.17,0.08,0.17,0.0,0.25,0.7072,0.0,0.22,0.15,0.0,0.03,0.06739200000000001,0.15700645161290322,0.0,0.05,0.13817142857142858,0.0,0.03,0.13,0.23124705882352942,0.0,0.1510736842105263,0.0884,0.0,0.0,0.04,0.04,0.05,0.0,0.0,0.0,0.2112,0.0,0.0
2020-01-26,2.2,0.2823529411764706,0.07,0.22246956521739128,0.6326530612244898,0.12,0.41,0.19,9.185773074661967,0.24,0.5476190476190477,0.11,0.23,2.7,0.21649484536082475,0.01,0.0,0.3,0.05,0.73,0.0,1.0416666666666667,0.15,0.7619047619047619,0.5517473684210527,0.10758620689655171,0.12,0.02,0.12678095238095236,0.18921290322580644,0.43,0.25,0.6666666666666666,0.0759493670886076,0.0,0.36607999999999996,0.09,3.6363636363636362,0.0,0.37439999999999996,0.09302325581395349,0.0,0.192,0.5952,0.07836279069767442,0.1248,0.2418,0.528,0.49263157894736836,0.1,0.03,0.0,0.18719999999999998,0.0,0.1664,0.06,0.07,0.0,0.01,0.09,0.18,0.0,0.25739999999999996,0.02,0.11,0.07,0.15,0.0,0.25,0.7571199999999999,0.0,0.19,0.2,0.08486400000000001,0.03,0.0,0.17310967741935485,0.0,0.04,0.1426285714285714,0.0,0.05,0.12,0.23124705882352942,0.0,0.09633684210526315,0.0832,0.0,0.0,0.04,0.05,0.04,0.0,0.0,0.0,0.22079999999999997,0.0,0.0
2020-02-02,2.2,0.3058823529411765,0.07,0.2116173913043478,0.7346938775510204,0.11,0.47,0.23,9.185773074661967,0.22,0.5238095238095238,0.14,0.21,2.7333333333333334,0.25773195876288657,0.01,0.0,0.28,0.05,0.77,0.0,0.9895833333333334,0.12,0.7619047619047619,0.6174315789473684,0.10758620689655171,0.12,0.03,0.12083809523809523,0.20129032258064514,0.42,0.3333333333333333,0.8,0.08860759493670886,0.0,0.45759999999999995,0.07,3.8181818181818183,0.0,0.42639999999999995,0.11627906976744186,0.0,0.3408,0.5472,0.09867906976744185,0.14975999999999998,0.2808,0.6624,0.5320421052631579,0.11,0.02,0.0,0.11699999999999999,0.0,0.1612,0.06,0.06,0.0,0.01,0.09,0.18,0.0,0.2652,0.01,0.11,0.07,0.15,0.0,0.25,0.6073599999999999,0.065,0.23,0.21,0.0,0.03,0.07238399999999999,0.1248,0.0,0.04,0.24068571428571428,0.0,0.04,0.11,0.2973176470588235,0.0,0.14450526315789475,0.10919999999999999,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.2016,0.0,0.0
2020-02-09,2.6666666666666665,0.3058823529411765,0.07,0.25502608695652174,0.6632653061224489,0.13,0.45,0.21,10.498026371042247,0.2,0.5714285714285714,0.15,0.23,2.7666666666666666,0.3917525773195876,0.02,0.0,0.31,0.05,0.69,0.0,0.96875,0.13,0.8095238095238095,0.5648842105263158,0.1506206896551724,0.14,0.02,0.09508571428571427,0.11272258064516129,0.42,0.3333333333333333,0.8666666666666667,0.08860759493670886,0.0,0.43263999999999997,0.07,3.4545454545454546,0.14857142857142858,0.45759999999999995,0.13953488372093023,0.0,0.25439999999999996,0.4512,0.1073860465116279,0.1248,0.2925,0.6527999999999999,0.49263157894736836,0.11,0.03,0.0,0.1326,0.0,0.3068,0.06,0.06,0.0,0.01,0.08,0.18,0.0,0.25739999999999996,0.02,0.14,0.07,0.15,0.0,0.28,0.78208,0.0,0.21,0.15,0.0,0.03,0.0,0.1368774193548387,0.0,0.04,0.312,0.0,0.03,0.13,0.17618823529411765,0.0,0.15545263157894737,0.11439999999999999,0.0,0.0,0.08,0.05,0.05,0.0,0.0,0.0,0.2112,0.0,0.0
2020-02-16,2.1333333333333333,0.3058823529411765,0.07,0.2116173913043478,0.5918367346938775,0.13,0.48,0.21,10.498026371042247,0.22,0.5833333333333334,0.14,0.25,2.7666666666666666,0.23711340206185566,0.02,0.0,0.3,0.05,0.86,0.0,0.875,0.13,0.6666666666666666,0.624,0.10758620689655171,0.13,0.02,0.15649523809523808,0.21739354838709676,0.4,0.2916666666666667,0.7333333333333333,0.08860759493670886,0.0,0.3328,0.06,3.8181818181818183,0.0,0.42639999999999995,0.09302325581395349,0.0,0.3792,0.48,0.06965581395348837,0.13478400000000001,0.22619999999999998,0.576,0.6174315789473684,0.12,0.03,0.0,0.19499999999999998,0.0,0.1612,0.07,0.05,0.0,0.01,0.1,0.18,0.0,0.2418,0.02,0.09,0.07,0.15,0.0,0.25,0.6073599999999999,0.0,0.21,0.12,0.0,0.03,0.0,0.18116129032258063,0.0,0.05,0.09805714285714286,0.0,0.04,0.13,0.22023529411764703,0.0,0.0919578947368421,0.156,0.0,0.0,0.04,0.05,0.05,0.08388196721311475,0.06685714285714285,0.0,0.17279999999999998,0.0,0.0
2020-02-23,2.2,0.3176470588235294,0.09,0.20619130434782607,0.6122448979591837,0.12,0.45,0.19,9.185773074661967,0.24,0.5714285714285714,0.15,0.23,2.8,0.21649484536082475,0.02,0.0,0.3,0.05,0.79,0.0,0.8645833333333334,0.14,0.6507936507936508,0.6568421052631579,0.09467586206896551,0.13,0.02,0.1228190476190476,0.17713548387096775,0.45,0.2916666666666667,0.8,0.08860759493670886,0.0,0.39104,0.06,3.5454545454545454,0.0,0.40559999999999996,0.09302325581395349,0.0,0.3408,0.5184,0.0,0.129792,0.2496,0.6144000000000001,0.545178947368421,0.11,0.03,0.0,0.19499999999999998,0.0,0.19759999999999997,0.06,0.05,0.0,0.02,0.09,0.18,0.0,0.21059999999999998,0.02,0.1,0.07,0.15,0.0,0.23,0.64064,0.06369999999999999,0.19,0.13,0.0,0.03,0.0,0.1288258064516129,0.0,0.04,0.11588571428571429,0.0,0.04,0.12,0.1908705882352941,0.0,0.07663157894736843,0.10919999999999999,0.079872,0.0,0.04,0.05,0.04,0.11457049180327869,0.0,0.0,0.216,0.0,0.0
2020-03-01,2.1333333333333333,0.29411764705882354,0.08,0.20619130434782607,0.5714285714285714,0.12,0.46,0.2,9.185773074661967,0.24,0.5595238095238095,0.14,0.23,2.8333333333333335,0.2268041237113402,0.01,0.0,0.3,0.04,0.78,0.0,0.90625,0.14,0.6031746031746031,0.5845894736842104,0.09467586206896551,0.12,0.03,0.13074285714285713,0.25362580645161287,0.44,0.25,0.8,0.08860759493670886,0.0,0.27456,0.07,3.5454545454545454,0.0,0.48879999999999996,0.09302325581395349,0.0,0.3216,0.576,0.07546046511627906,0.09984,0.21059999999999998,0.7104,0.5583157894736842,0.11,0.03,0.0,0.21839999999999998,0.0,0.1768,0.07,0.06,0.0,0.01,0.1,0.17,0.09773493975903613,0.28859999999999997,0.02,0.09,0.07,0.15,0.0,0.23,0.624,0.0,0.2,0.14,0.0,0.03,0.0,0.17310967741935485,0.0,0.04,0.0713142857142857,0.0,0.04,0.12,0.18352941176470589,0.0,0.14012631578947368,0.1352,0.0,0.0,0.04,0.04,0.05,0.0,0.0,0.0,0.2592,0.076128,0.0
