date,Basketballs,Soccer balls,Tennis rackets,Running shoes,Treadmills,Dumbbells,Yoga mats,Baseball bats,Swim goggles,Hiking boots,Camping tents,Football helmets,Bicycles,Skateboards,Ski equipment,Snowboards,Golf clubs,Cricket bats,Boxing gloves,Fishing rods,Kayaks,Canoes,Paddles,Climbing gear,Water bottles,Gym bags,Sports watches,Exercise bikes,Rowing machines,Weight benches,Resistance bands,Pull-up bars,Ellipticals,Protein powder,Running gear,Swim caps,Soccer cleats,Basketball jerseys,Fitness trackers,Hiking backpacks,Sleeping bags,Camping stoves,Headlamps,Sports sunglasses,Knee pads,Elbow pads,Ski poles,Snowshoes,Life jackets,Tennis balls,Sports uniforms,Baseball gloves,Frisbees,Lacrosse sticks,Squash rackets,Volleyballs,Scuba gear,Archery bows,Sports towels,Ankle weights,Jump ropes,Workout clothes,Fitness mats,Kayak paddles,Trekking poles,Trail running shoes,Compression socks,Skipping ropes,Weightlifting belts,Boxing bags,Paintball guns,Baseball caps,Wrist supports,Fingerless gloves,Water bladders,Athletic tape,Biking helmets,Ski goggles,Paddleboards,Dartboards,Hand wraps,Paragliding kits,Mountain bikes,Gym gloves,Tackle boxes,Cross-trainers,Martial arts gear,Aerobics steps,Shin guards,Hip bags,Cycling jerseys,Longboards,Balance boards,Roller skates,Snow tubes,Arm warmers,Hammocks,Athletic shoes,Tennis grips,Hunting boots,Outdoor grills,Baseball hats,Wrestling shoes,Sports drinks
2019-12-29,0.09,0.06,0.05,2.9565217391304346,0.54,0.6086956521739131,0.1,0.13,0.06,0.8461538461538461,0.08,0.38,0.6382978723404256,0.7183098591549296,0.13,0.63,0.84375,0.1664,0.36,0.27,0.3235294117647059,0.07,0.33,0.12,0.9180327868852459,0.08,0.04,0.14,0.05,0.17279999999999998,0.3508771929824561,0.0,0.048,2.037037037037037,0.12,0.02,0.35714285714285715,0.11,0.0425531914893617,0.5574399999999999,0.16,0.19968,0.09,0.45759999999999995,0.25,0.05,0.13,0.32,0.06,0.13,0.28426666666666667,0.12,0.2496,0.03,0.0,0.19968,0.05,0.15,0.14915121951219512,0.09,0.43679999999999997,0.37,0.19413333333333332,0.016,0.0608,0.15,0.8125,0.0,0.14915121951219512,0.26832,0.13,0.12,0.11388,0.14,0.0,0.041600000000000005,0.0,0.43,0.01,0.0,0.8632,0.0,0.3559322033898305,0.39519999999999994,0.3156705882352941,0.0,0.0,0.0,0.09,0.0,0.1794,0.12,0.1480186046511628,0.5,0.03,0.1908705882352941,0.14,0.27,0.1008,0.21,0.04,0.13,0.18,0.05
2020-01-05,0.11,0.07,0.05,2.782608695652174,0.4,0.6086956521739131,0.13,0.16,0.06,0.6794871794871795,0.09,0.15,0.5957446808510638,0.647887323943662,0.1,0.56,0.84375,0.18719999999999998,0.36,0.23,0.3235294117647059,0.08,0.32,0.11,0.9836065573770492,0.07,0.03,0.1,0.06,0.22079999999999997,0.3333333333333333,0.0,0.044800000000000006,2.3333333333333335,0.1,0.04,0.45714285714285713,0.14,0.06382978723404255,0.39936,0.16,0.189696,0.09,0.2808,0.31,0.05,0.1,0.23,0.06,0.14,0.45759999999999995,0.13,0.2722909090909091,0.05,0.0,0.34944,0.07,0.08,0.08522926829268293,0.09,0.46176,0.4,0.1063111111111111,0.0192,0.048,0.14,0.8375,0.0,0.0,0.39936,0.12,0.1,0.0,0.12,0.0,0.044800000000000006,0.0,0.35,0.01,0.09235199999999999,0.7176,0.0,0.3050847457627119,0.38826666666666665,0.2936470588235294,0.0,0.0,0.10857599999999999,0.11,0.11394782608695651,0.20279999999999998,0.11,0.11609302325581394,0.44,0.03,0.2496,0.14,0.24,0.08639999999999999,0.15,0.04,0.12,0.23,0.05
2020-01-12,0.13,0.08,0.04,2.739130434782609,0.3,0.5652173913043478,0.1,0.19,0.08,0.7051282051282052,0.09,0.18,0.6170212765957447,0.6619718309859155,0.09,0.5,0.875,0.22879999999999998,0.39,0.23,0.29411764705882354,0.08,0.31,0.11,1.0327868852459017,0.08,0.03,0.1,0.05,0.15360000000000001,0.3508771929824561,0.0,0.041600000000000005,2.2962962962962963,0.1,0.04,0.5,0.15,0.0425531914893617,0.47423999999999994,0.15,0.19968,0.09,0.3848,0.28,0.05,0.09,0.21,0.06,0.16,0.5546666666666666,0.15,0.32901818181818177,0.05,0.0,0.36607999999999996,0.07,0.07,0.0,0.09,0.44928,0.38,0.09244444444444444,0.0096,0.0512,0.16,0.75,0.0,0.0882731707317073,0.2496,0.13,0.12,0.0,0.11,0.0,0.054400000000000004,0.0,0.36,0.01,0.08985599999999999,0.8111999999999999,0.0,0.288135593220339,0.45759999999999995,0.28630588235294113,0.0,0.10064516129032257,0.0,0.12,0.08139130434782609,0.2418,0.1,0.09577674418604651,0.4,0.02,0.2349176470588235,0.13,0.27,0.1296,0.14,0.04,0.15,0.21,0.05
2020-01-19,0.12,0.09,0.05,2.9130434782608696,0.3,0.5652173913043478,0.1,0.2,0.07,0.717948717948718,0.09,0.14,0.6170212765957447,0.647887323943662,0.09,0.55,0.9375,0.18719999999999998,0.41,0.26,0.3235294117647059,0.09,0.33,0.12,0.9016393442622951,0.08,0.03,0.1,0.04,0.192,0.3508771929824561,0.0,0.0352,2.1481481481481484,0.1,0.03,0.5285714285714286,0.14,0.0425531914893617,0.48256,0.15,0.21964799999999998,0.08,0.3224,0.3,0.05,0.1,0.27,0.06,0.15,0.5546666666666666,0.17,0.37439999999999996,0.05,0.0990680412371134,0.34112,0.07,0.06,0.10653658536585366,0.09,0.44928,0.39,0.14328888888888888,0.0096,0.044800000000000006,0.16,0.8,0.0,0.0,0.18095999999999998,0.12,0.13,0.13728,0.12,0.12304225352112676,0.0576,0.0,0.37,0.01,0.08486400000000001,0.7799999999999999,0.0,0.3220338983050847,0.39519999999999994,0.3523764705882353,0.0,0.1368774193548387,0.0,0.11,0.08139130434782609,0.2496,0.1,0.1015813953488372,0.54,0.02,0.1908705882352941,0.15,0.23,0.12,0.14,0.04,0.16,0.22,0.05
2020-01-26,0.15,0.08,0.06,2.6956521739130435,0.23,0.5217391304347826,0.1,0.22,0.07,0.6025641025641025,0.08,0.13,0.574468085106383,0.676056338028169,0.07,0.44,0.75,0.11439999999999999,0.41,0.23,0.29411764705882354,0.08,0.3,0.11,1.0327868852459017,0.07,0.03,0.08,0.04,0.2112,0.3333333333333333,0.0,0.0256,2.111111111111111,0.08,0.03,0.5285714285714286,0.25,0.0425531914893617,0.44928,0.15,0.27456,0.07,0.3328,0.31,0.05,0.07,0.19,0.06,0.16,0.5061333333333333,0.16,0.32901818181818177,0.07,0.09392164948453607,0.36607999999999996,0.07,0.06,0.0,0.09,0.46176,0.36,0.09706666666666666,0.0128,0.044800000000000006,0.13,0.75,0.0,0.09436097560975609,0.28703999999999996,0.11,0.13,0.09984,0.1,0.0,0.0512,0.0,0.28,0.01,0.0,0.8111999999999999,0.0,0.3220338983050847,0.3189333333333333,0.32301176470588233,0.0,0.12681290322580643,0.0,0.13,0.0,0.1482,0.1,0.16253023255813953,0.38,0.01,0.21289411764705882,0.13,0.24,0.1344,0.11,0.03,0.15,0.2,0.06
2020-02-02,0.16,0.09,0.05,2.9130434782608696,0.27,0.5217391304347826,0.09,0.23,0.06,0.6282051282051282,0.08,0.15,0.6170212765957447,0.6619718309859155,0.08,0.41,0.90625,0.21839999999999998,0.42,0.23,0.3235294117647059,0.08,0.3,0.11,1.0,0.08,0.04,0.09,0.03,0.096,0.3157894736842105,0.0,0.0352,2.1481481481481484,0.09,0.03,0.5857142857142857,0.18,0.0425531914893617,0.50752,0.15,0.17472,0.08,0.4784,0.3,0.05,0.08,0.17,0.08,0.21,0.5685333333333333,0.19,0.20421818181818183,0.08,0.0,0.30784,0.07,0.05,0.0,0.08,0.5740799999999999,0.38,0.17564444444444444,0.016,0.044800000000000006,0.15,0.75,0.0,0.0913170731707317,0.29951999999999995,0.12,0.13,0.09204,0.09,0.0,0.0576,0.1248,0.27,0.01,0.122304,0.9256,0.0,0.3389830508474576,0.3605333333333333,0.27896470588235295,0.0,0.13083870967741934,0.0,0.13,0.08410434782608696,0.19499999999999998,0.11,0.09287441860465116,0.38,0.01,0.20555294117647058,0.14,0.25,0.1392,0.12,0.04,0.17,0.19,0.06
2020-02-09,0.14,0.09,0.06,2.782608695652174,0.26,0.5217391304347826,0.08,0.29,0.07,0.6410256410256411,0.09,0.11,0.6382978723404256,0.676056338028169,0.08,0.38,1.0,0.21839999999999998,0.42,0.27,0.35294117647058826,0.08,0.33,0.11,0.8688524590163934,0.08,0.03,0.08,0.04,0.1248,0.3157894736842105,0.0,0.0352,1.962962962962963,0.08,0.03,0.6,0.18,0.0425531914893617,0.43263999999999997,0.15,0.21964799999999998,0.08,0.312,0.31,0.04,0.08,0.18,0.07,0.18,0.5269333333333334,0.22,0.2949818181818182,0.07,0.0,0.34112,0.07,0.07,0.0,0.09,0.43679999999999997,0.34,0.10168888888888888,0.0192,0.048,0.14,0.775,0.0,0.0882731707317073,0.27456,0.11,0.14,0.08892,0.09,0.0,0.064,0.0,0.28,0.01,0.082368,0.8008,0.0,0.3389830508474576,0.3813333333333333,0.3156705882352941,0.0,0.10265806451612904,0.08985599999999999,0.13,0.1519304347826087,0.19499999999999998,0.1,0.1189953488372093,0.4,0.01,0.1688470588235294,0.15,0.28,0.1392,0.11,0.05,0.17,0.17,0.06
2020-02-16,0.15,0.09,0.05,2.9565217391304346,0.26,0.5652173913043478,0.08,0.31,0.07,0.7051282051282052,0.11,0.1,0.6595744680851063,0.6901408450704225,0.08,0.38,1.0625,0.18719999999999998,0.44,0.28,0.4117647058823529,0.1,0.32,0.1,1.0327868852459017,0.07,0.03,0.08,0.04,0.2016,0.3157894736842105,0.0,0.0384,2.037037037037037,0.08,0.04,0.6714285714285714,0.17,0.0425531914893617,0.48256,0.15,0.229632,0.08,0.3224,0.3,0.05,0.09,0.18,0.08,0.16,0.5338666666666666,0.25,0.2269090909090909,0.08,0.12865979381443296,0.44095999999999996,0.07,0.05,0.10958048780487804,0.08,0.44928,0.35,0.10168888888888888,0.016,0.0576,0.16,0.75,0.0,0.0,0.27456,0.14,0.15,0.08736,0.09,0.0,0.0608,0.0,0.27,0.01,0.10732799999999999,0.9672,0.0,0.3898305084745763,0.416,0.27162352941176465,0.0,0.0,0.0,0.15,0.0,0.19499999999999998,0.13,0.17413953488372091,0.48,0.01,0.24225882352941175,0.16,0.28,0.1776,0.11,0.06,0.19,0.2,0.06
2020-02-23,0.16,0.09,0.07,3.0434782608695654,0.24,0.5217391304347826,0.1,0.33,0.07,0.6538461538461539,0.11,0.1,0.6595744680851063,0.7183098591549296,0.06,0.31,0.96875,0.18719999999999998,0.47,0.27,0.4411764705882353,0.09,0.32,0.1,1.0,0.07,0.02,0.08,0.04,0.2112,0.2807017543859649,0.0,0.0288,2.0,0.07,0.04,0.7142857142857143,0.16,0.02127659574468085,0.45759999999999995,0.16,0.23961599999999997,0.08,0.4992,0.31,0.06,0.07,0.13,0.09,0.17,0.6101333333333333,0.29,0.3517090909090909,0.09,0.0,0.39936,0.06,0.05,0.0,0.1,0.58656,0.35,0.10168888888888888,0.016,0.0512,0.17,0.7375,0.0,0.1217560975609756,0.33071999999999996,0.15,0.14,0.0,0.08,0.0,0.0576,0.10538666666666666,0.2,0.01,0.0,0.9359999999999999,0.0,0.3898305084745763,0.37439999999999996,0.26428235294117647,0.0,0.08655483870967742,0.0,0.15,0.14379130434782608,0.28859999999999997,0.13,0.2205767441860465,0.5,0.01,0.19821176470588234,0.14,0.29,0.18239999999999998,0.1,0.05,0.17,0.17,0.06
2020-03-01,0.14,0.1,0.07,3.260869565217391,0.21,0.5217391304347826,0.09,0.4,0.07,0.6282051282051282,0.11,0.1,0.7446808510638298,0.6619718309859155,0.05,0.27,1.03125,0.1664,0.44,0.28,0.4411764705882353,0.09,0.31,0.1,1.180327868852459,0.06,0.03,0.07,0.03,0.2112,0.2982456140350877,0.0,0.0352,2.0,0.08,0.03,0.7428571428571429,0.16,0.02127659574468085,0.5408,0.15,0.20467199999999997,0.08,0.3328,0.3,0.06,0.06,0.11,0.08,0.15,0.6586666666666666,0.29,0.40843636363636365,0.12,0.0,0.30784,0.08,0.06,0.0882731707317073,0.08,0.52416,0.32,0.13404444444444444,0.0192,0.0512,0.18,0.7125,0.0,0.10958048780487804,0.28703999999999996,0.14,0.13,0.0,0.08,0.07382535211267605,0.0576,0.09984,0.16,0.01,0.09235199999999999,0.832,0.0,0.423728813559322,0.42293333333333333,0.3156705882352941,0.0,0.14090322580645162,0.0,0.17,0.11666086956521739,0.2496,0.13,0.15962790697674417,0.48,0.01,0.18352941176470589,0.16,0.27,0.15839999999999999,0.1,0.06,0.18,0.17,0.05
