Average MSE,Number of Layers,Number of Nodes,Dropout Rate,Time Step
2.1464895830864616,5,50,0.1,10
3.383339110137798,5,50,0.2,10
1.5617795345739254,5,50,0.3,10
3.0869494505598176,5,75,0.1,10
4.1254487275711265,5,75,0.2,10
1.7336613169376498,5,75,0.3,10
5.196145849393763,5,100,0.1,10
4.4411913981007896,5,100,0.2,10
2.4227717447925663,5,100,0.3,10
2.0679988395594178,5,50,0.1,20
3.802968609666161,5,50,0.2,20
2.5148916856066945,5,50,0.3,20
5.59714187745442,5,75,0.1,20
3.6869588082800333,5,75,0.2,20
2.142553687651605,5,75,0.3,20
5.616871187061663,5,100,0.1,20
0.9233586245868608,5,100,0.2,20
3.6618108193514725,5,100,0.3,20
2.790200047057122,5,50,0.1,30
2.6177215820444335,5,50,0.2,30
2.9336623581099692,5,50,0.3,30
1.6044813666652844,5,75,0.1,30
2.760128258666103,5,75,0.2,30
2.8168542546930184,5,75,0.3,30
3.7323060569558266,5,100,0.1,30
1.303347272319011,5,100,0.2,30
0.8957388152587141,5,100,0.3,30
8.403019819665417,5,50,0.1,40
1.16348954681082,5,50,0.2,40
8.025696895128231,5,50,0.3,40
3.318698644426679,5,75,0.1,40
6.306085227715848,5,75,0.2,40
1.4454890817811166,5,75,0.3,40
0.9372901692400966,5,100,0.1,40
5.502712406037443,5,100,0.2,40
2.5817795503688252,5,100,0.3,40
2.3017403236078247,5,50,0.1,50
3.121536673511598,5,50,0.2,50
4.825464297826992,5,50,0.3,50
4.762716188477507,5,75,0.1,50
3.204393345504438,5,75,0.2,50
5.841225759981734,5,75,0.3,50
2.894166242872754,5,100,0.1,50
11.207842056273277,5,100,0.2,50
0.7666316948949299,5,100,0.3,50
4.617576193631405,7,50,0.1,10
7.124762786379729,7,50,0.2,10
3.544014321314114,7,50,0.3,10
6.9143143256349955,7,75,0.1,10
11.20355206770224,7,75,0.2,10
3.55404903790126,7,75,0.3,10
8.970107384993309,7,100,0.1,10
8.86261991495627,7,100,0.2,10
6.072342672649449,7,100,0.3,10
10.161182999963808,7,50,0.1,20
11.494118303241741,7,50,0.2,20
10.999470285032348,7,50,0.3,20
8.969365611858795,7,75,0.1,20
14.76681396777347,7,75,0.2,20
