date,Basketballs,Soccer balls,Tennis rackets,Running shoes,Treadmills,Dumbbells,Yoga mats,Baseball bats,Swim goggles,Hiking boots,Camping tents,Football helmets,Bicycles,Skateboards,Ski equipment,Snowboards,Golf clubs,Cricket bats,Boxing gloves,Fishing rods,Kayaks,Canoes,Paddles,Climbing gear,Water bottles,Gym bags,Sports watches,Exercise bikes,Rowing machines,Weight benches,Resistance bands,Pull-up bars,Ellipticals,Protein powder,Running gear,Swim caps,Soccer cleats,Basketball jerseys,Fitness trackers,Hiking backpacks,Sleeping bags,Camping stoves,Headlamps,Sports sunglasses,Knee pads,Elbow pads,Ski poles,Snowshoes,Life jackets,Tennis balls,Sports uniforms,Baseball gloves,Frisbees,Lacrosse sticks,Squash rackets,Volleyballs,Scuba gear,Archery bows,Sports towels,Ankle weights,Jump ropes,Workout clothes,Fitness mats
2019-12-29,0.09,0.06,0.05,3.0454545454545454,0.54,0.625,0.1,0.13,0.06,0.8441558441558441,0.08,0.38,0.6304347826086957,0.7162162162162162,0.13,0.64,1.0625,0.104,0.36,0.26,0.3235294117647059,0.07,0.3333333333333333,0.12,0.8813559322033898,0.08,0.04,0.14,0.05,0.18239999999999998,0.3392857142857143,0.0,0.0512,2.074074074074074,0.12,0.03,0.3611111111111111,0.11,0.04,0.5574399999999999,0.16,0.14476799999999998,0.1,0.4472,0.25,0.05,0.13,0.32,0.06,0.13,0.3415578947368421,0.12,0.15883636363636364,0.03,0.0,0.23296,0.05,0.15,0.10181052631578946,0.09,0.42432,0.37,0.15715555555555555
2020-01-05,0.11,0.08,0.05,2.772727272727273,0.41,0.625,0.13,0.17,0.06,0.6883116883116883,0.09,0.15,0.6086956521739131,0.6486486486486487,0.09,0.57,0.84375,0.1664,0.36,0.23,0.3235294117647059,0.08,0.32323232323232326,0.11,1.0169491525423728,0.07,0.03,0.1,0.05,0.22079999999999997,0.3392857142857143,0.0,0.041600000000000005,2.3703703703703702,0.1,0.03,0.4583333333333333,0.14,0.06,0.36607999999999996,0.16,0.14476799999999998,0.09,0.3016,0.32,0.05,0.1,0.23,0.06,0.14,0.40724210526315785,0.13,0.3063272727272727,0.05,0.0,0.32448,0.07,0.08,0.14122105263157894,0.09,0.46176,0.4,0.16177777777777777
2020-01-12,0.13,0.08,0.04,2.8181818181818183,0.31,0.625,0.1,0.19,0.08,0.7012987012987013,0.1,0.18,0.6304347826086957,0.6756756756756757,0.09,0.51,0.90625,0.21839999999999998,0.39,0.24,0.29411764705882354,0.08,0.31313131313131315,0.11,1.0338983050847457,0.08,0.03,0.1,0.04,0.15360000000000001,0.3392857142857143,0.0,0.0384,2.259259259259259,0.1,0.04,0.5138888888888888,0.15,0.04,0.42432,0.16,0.194688,0.09,0.3432,0.28,0.05,0.09,0.21,0.06,0.16,0.5123368421052632,0.15,0.2722909090909091,0.05,0.0,0.39936,0.07,0.07,0.0,0.09,0.46176,0.39,0.1248
2020-01-19,0.12,0.09,0.05,2.8636363636363638,0.3,0.5833333333333334,0.1,0.21,0.07,0.7272727272727273,0.09,0.14,0.6304347826086957,0.6486486486486487,0.09,0.56,0.9375,0.19759999999999997,0.42,0.26,0.3235294117647059,0.09,0.3434343434343434,0.12,0.9661016949152542,0.08,0.03,0.09,0.04,0.17279999999999998,0.35714285714285715,0.0,0.0352,2.2222222222222223,0.11,0.03,0.5416666666666666,0.15,0.04,0.46592,0.15,0.194688,0.09,0.3328,0.3,0.04,0.1,0.27,0.06,0.15,0.5583157894736842,0.17,0.32901818181818177,0.05,0.0,0.35775999999999997,0.07,0.06,0.1543578947368421,0.09,0.4992,0.39,0.19413333333333332
2020-01-26,0.15,0.08,0.06,2.727272727272727,0.24,0.5416666666666666,0.11,0.22,0.07,0.5974025974025974,0.09,0.13,0.5869565217391305,0.6891891891891891,0.07,0.45,0.96875,0.09359999999999999,0.41,0.23,0.29411764705882354,0.08,0.30303030303030304,0.11,0.9322033898305084,0.07,0.03,0.08,0.04,0.2496,0.32142857142857145,0.0,0.032,2.1481481481481484,0.08,0.03,0.5416666666666666,0.25,0.04,0.43263999999999997,0.14,0.17971199999999998,0.07,0.3328,0.31,0.05,0.08,0.19,0.06,0.16,0.5123368421052632,0.17,0.3517090909090909,0.07,0.0,0.39936,0.07,0.06,0.0,0.09,0.53664,0.34,0.08782222222222222
2020-02-02,0.16,0.09,0.05,3.0,0.27,0.5416666666666666,0.09,0.23,0.06,0.6363636363636364,0.08,0.15,0.6304347826086957,0.6621621621621622,0.08,0.41,0.90625,0.208,0.42,0.24,0.3235294117647059,0.08,0.30303030303030304,0.11,0.8983050847457628,0.08,0.03,0.09,0.03,0.1344,0.30357142857142855,0.0,0.0352,2.1481481481481484,0.09,0.03,0.5833333333333334,0.18,0.04,0.46592,0.15,0.21964799999999998,0.08,0.48879999999999996,0.31,0.05,0.08,0.16,0.07,0.21,0.5714526315789473,0.2,0.2722909090909091,0.08,0.0,0.32448,0.07,0.05,0.09852631578947368,0.09,0.5616,0.38,0.14328888888888888
2020-02-09,0.14,0.09,0.06,2.8181818181818183,0.26,0.5416666666666666,0.08,0.3,0.08,0.6363636363636364,0.09,0.11,0.6521739130434783,0.6756756756756757,0.08,0.39,1.0,0.18719999999999998,0.42,0.27,0.35294117647058826,0.08,0.3333333333333333,0.11,0.9661016949152542,0.08,0.03,0.08,0.04,0.1152,0.30357142857142855,0.0,0.032,2.0,0.08,0.03,0.5972222222222222,0.19,0.04,0.44095999999999996,0.15,0.23462399999999997,0.08,0.364,0.32,0.05,0.09,0.19,0.07,0.18,0.5517473684210527,0.22,0.3176727272727273,0.07,0.0,0.37439999999999996,0.07,0.06,0.0,0.09,0.47423999999999994,0.35,0.13404444444444444
2020-02-16,0.16,0.09,0.06,3.0,0.26,0.5833333333333334,0.08,0.31,0.07,0.7142857142857143,0.11,0.1,0.6956521739130435,0.7027027027027027,0.08,0.39,1.09375,0.18719999999999998,0.44,0.28,0.4117647058823529,0.1,0.32323232323232326,0.1,1.0677966101694916,0.07,0.03,0.09,0.04,0.192,0.32142857142857145,0.0,0.0384,2.074074074074074,0.08,0.04,0.6805555555555556,0.17,0.04,0.46592,0.16,0.209664,0.08,0.3328,0.31,0.06,0.1,0.18,0.08,0.16,0.5189052631578948,0.26,0.2496,0.08,0.10494545454545455,0.47423999999999994,0.07,0.06,0.13793684210526316,0.08,0.48672,0.35,0.13866666666666666
2020-02-23,0.16,0.09,0.06,3.0454545454545454,0.24,0.5416666666666666,0.1,0.34,0.07,0.6623376623376623,0.11,0.1,0.6739130434782609,0.7297297297297297,0.06,0.31,1.03125,0.18719999999999998,0.48,0.27,0.4411764705882353,0.09,0.32323232323232326,0.1,0.9322033898305084,0.07,0.03,0.08,0.04,0.2016,0.2857142857142857,0.0,0.0288,2.037037037037037,0.08,0.03,0.6944444444444444,0.16,0.04,0.46592,0.16,0.23961599999999997,0.08,0.46799999999999997,0.32,0.06,0.07,0.13,0.09,0.17,0.6042947368421052,0.28,0.36305454545454546,0.09,0.07658181818181818,0.42432,0.06,0.05,0.0,0.1,0.58656,0.35,0.11093333333333333
2020-03-01,0.14,0.09,0.07,3.5,0.21,0.5416666666666666,0.09,0.41,0.07,0.6363636363636364,0.11,0.11,0.6956521739130435,0.7027027027027027,0.05,0.28,1.03125,0.19759999999999997,0.44,0.28,0.4411764705882353,0.09,0.31313131313131315,0.1,1.1016949152542372,0.06,0.03,0.07,0.03,0.16319999999999998,0.30357142857142855,0.0,0.0352,1.9259259259259258,0.08,0.03,0.75,0.17,0.02,0.52416,0.15,0.16972800000000002,0.08,0.3328,0.3,0.06,0.06,0.1,0.09,0.16,0.6042947368421052,0.29,0.40843636363636365,0.12,0.12338181818181818,0.37439999999999996,0.08,0.06,0.08538947368421053,0.08,0.52416,0.32,0.1479111111111111
